device,problem,dim,type_instance,instances_req,instances_used,restarts,budget,M,lambda,kernel,advantage,epsilon_svgd,gamma,no_interact,no_repulsion,decay,decay_start_ratio,decay_min_factor,repeats,time_sec_avg,time_sec_min,time_sec_max
cpu,QUBO,64,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3794440586655885,1.3741397239973594,1.3846561969985487
cpu,QUBO,64,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,8.704819301999427,8.258661494997796,9.320982785000524
cuda:0,QUBO,64,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9974497479985682,1.9111043749981036,2.119548708000366
cuda:0,QUBO,64,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.321294280000681,2.297208227999363,2.359743086999515
cpu,QUBO,64,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.1550458716653036,1.153777634997823,1.1560385859993403
cpu,QUBO,64,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,9.006814346999212,8.803846708000492,9.408454472999438
cuda:0,QUBO,64,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1265922576664402,2.1089911660019425,2.143396251998638
cuda:0,QUBO,64,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.4733238830000723,2.3276292529990315,2.6972534870001255
cpu,QUBO,64,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.1735697060006107,1.1551312529991264,1.1868514140005573
cpu,QUBO,64,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,8.880898451333147,8.600682352000149,9.070142330001545
cuda:0,QUBO,64,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.990399265667899,1.9547271490009734,2.0212378710020857
cuda:0,QUBO,64,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.2592862430004366,2.2429165479989024,2.279685346002225
cpu,QUBO,64,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.111611184666496,1.0935723219990905,1.133455260998744
cpu,QUBO,64,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,9.445021216000896,8.97897042600016,10.149845020001521
cuda:0,QUBO,64,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.0236077146667717,1.9780335850009578,2.04643582800054
cuda:0,QUBO,64,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.349894393000189,2.2807734820016776,2.4016313169995556
cpu,QUBO,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.4037616883336643,1.290643763000844,1.4979811039993365
cpu,QUBO,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,8.884745096000794,8.608215375999862,9.100929344000178
cuda:0,QUBO,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9971858309982053,1.955309810997278,2.069899587000691
cuda:0,QUBO,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3131729106668595,2.2887307290002354,2.337222993999603
cpu,QUBO,64,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3986508696665017,1.3944704569985333,1.406442233001144
cpu,QUBO,64,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,9.166863300331897,8.452622515000257,9.577072487998521
cuda:0,QUBO,64,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.0511996436677387,2.0006316469989542,2.1065983140033495
cuda:0,QUBO,64,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.417588872667693,2.3711404310015496,2.470016940002097
cpu,QUBO,128,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3951365106659068,1.2581376879970776,1.5133685490000062
cpu,QUBO,128,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.653846643667446,25.012488914999267,26.228169574002095
cuda:0,QUBO,128,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9578476716657558,1.9253869009990012,2.005793669999548
cuda:0,QUBO,128,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.355306590667169,3.305561007000506,3.4070311229988874
cpu,QUBO,128,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3204892583356316,1.300206028001412,1.3479895110031066
cpu,QUBO,128,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.572779827001796,25.07269859400185,25.912711741002568
cuda:0,QUBO,128,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9857954446658066,1.960715140998218,2.0058842149992415
cuda:0,QUBO,128,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.304983073000282,3.3005372879997594,3.3079620429998613
cpu,QUBO,128,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.2842426013351844,1.253006679002283,1.3082811250023951
cpu,QUBO,128,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,24.884602683665435,24.47188054399885,25.60047927499909
cuda:0,QUBO,128,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.02091879700068,1.9907490280020284,2.0442653479985893
cuda:0,QUBO,128,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.3515943853332524,3.316365618000418,3.3735282859997824
cpu,QUBO,128,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.4782591643318785,1.2871472739971068,1.7878773500015086
cpu,QUBO,128,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.630023175999668,25.400364110999362,25.825368058001914
cuda:0,QUBO,128,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.98134095499942,1.9365603279984498,2.038270652999927
cuda:0,QUBO,128,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.437020854333241,3.427467028999672,3.4421950440009823
cpu,QUBO,128,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.5219698790000014,1.349676230998739,1.7405243460016209
cpu,QUBO,128,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.75692078933207,24.850301243001013,26.600151774997357
cuda:0,QUBO,128,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1277668606671796,2.0579009970024345,2.242147353001201
cuda:0,QUBO,128,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.39965983699949,3.3292024830006994,3.4642158039969217
cpu,QUBO,128,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.4017321276660368,1.380469281997648,1.4227568370006338
cpu,QUBO,128,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.540432802999323,24.760286470998835,27.091035387999
cuda:0,QUBO,128,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.984522661333661,1.955502617998718,2.036545851999108
cuda:0,QUBO,128,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.297632266998941,3.281828962997679,3.3185090289989603
cpu,QUBO,256,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.026311583331941,1.8992623689991888,2.2326589429976593
cpu,QUBO,256,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,75.5891923666677,74.14313399200182,77.34795394100001
cuda:0,QUBO,256,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1818663546655443,2.1228613120001683,2.2528257309968467
cuda:0,QUBO,256,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,7.427340442334146,7.379898449999018,7.4815625280025415
cpu,QUBO,256,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3203340156687773,1.996473737002816,2.5917516330009676
cpu,QUBO,256,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,75.82780472733309,74.44699724900056,77.03388075399926
cuda:0,QUBO,256,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.223481051000514,2.115536607998365,2.3872731380033656
cuda:0,QUBO,256,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,7.4581753756659355,7.276501218999329,7.715667579999717
cpu,QUBO,256,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.0368621473329163,1.9048503810008697,2.240357712998957
cpu,QUBO,256,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,77.60827833066651,75.36784718800118,79.77996744199845
cuda:0,QUBO,256,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9572353076667544,1.9474367549992166,1.966088278000825
cuda:0,QUBO,256,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,7.331292960998932,7.224188948999654,7.4256063739994715
cpu,QUBO,256,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.025545954333211,1.8735158650015364,2.265804177000973
cpu,QUBO,256,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,74.24390701300096,73.78240057400035,74.76723528600269
cuda:0,QUBO,256,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.0239046063337205,1.9494531039999856,2.0909643240011064
cuda:0,QUBO,256,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,7.361965769331921,7.334294045998831,7.397583725000004
cpu,QUBO,256,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1525854776664346,1.981661145000544,2.3155578689984395
cpu,QUBO,256,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,75.44239385733333,75.16550163500142,75.98934671499956
cuda:0,QUBO,256,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9580734206647321,1.9384847919973254,1.9953592479978397
cuda:0,QUBO,256,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,7.529896781999317,7.4106703420002304,7.6379086849992746
cpu,QUBO,256,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.0420839356678093,1.9786454259992752,2.148236316003022
cpu,QUBO,256,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,76.61391235599997,72.64881532300205,78.71611328699873
cuda:0,QUBO,256,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9590968133343267,1.9274106990014843,1.9859092149999924
cuda:0,QUBO,256,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,7.240511607000371,7.1879490290011745,7.29538658599995
cpu,NK3,128,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.073662806999588,1.9544252129999222,2.201545266001631
cpu,NK3,128,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,71.12696030833224,70.28502843100068,72.09898122099912
cuda:0,NK3,128,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3689369873342607,2.3353067900025053,2.399589761000243
cuda:0,NK3,128,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,6.757151692997771,6.685738861997379,6.809346594996896
cpu,NK3,128,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.028122425666273,1.724924417998409,2.479187278000609
cpu,NK3,128,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,70.99256477066713,69.52631771100278,73.81347968899718
cuda:0,NK3,128,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.212651319332508,2.1722916930011706,2.2901090329978615
cuda:0,NK3,128,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,6.570061509666023,6.562897896001232,6.578860593999707
cpu,NK3,128,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.8021258343324007,1.7313657609993243,1.90906633099803
cpu,NK3,128,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,74.39540552700055,73.38065468600325,75.26686450999841
cuda:0,NK3,128,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1618175376667446,2.149929870000051,2.1792186599996057
cuda:0,NK3,128,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,6.927187640999667,6.915907332000643,6.937040753000474
cpu,NK3,128,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.9400952996656997,2.770220796999638,3.160692919998837
cpu,NK3,128,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,94.424822448999,93.9758068029987,94.92414837099932
cuda:0,NK3,128,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.171273776332479,3.1473222489985346,3.2137887999997474
cuda:0,NK3,128,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,17.3111369666658,17.230862898999476,17.354339292000077
cpu,NK3,256,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.619535960999201,2.5771407180000097,2.6708342599995376
cpu,NK3,256,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,198.13443116533503,197.81554765700275,198.7082647999996
cuda:0,NK3,256,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.2664580719999017,2.21467150099852,2.308596626000508
cuda:0,NK3,256,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,13.882179972331263,13.869940034997853,13.898887396997452
cpu,NK3,256,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.9097290566654315,2.6946262050005316,3.0893391569989035
cpu,NK3,256,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,210.1768236263318,204.45645208699716,216.6051059149977
cuda:0,NK3,256,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3641433336658033,2.3105383709989837,2.4170491010008845
cuda:0,NK3,256,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,14.349997429665867,14.290071531999274,14.384877088999929
cpu,NK3,256,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.9561685530000736,2.8079874780014507,3.105228126998554
cpu,NK3,256,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,241.66407950499948,235.44203656899845,247.45538143500016
cuda:0,NK3,256,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.209687546666828,2.199814455998421,2.2150108060013736
cuda:0,NK3,256,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,14.878762192000673,14.715660369001853,15.051322031999007
cpu,NK3,256,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,4.711096585000632,4.67417142100021,4.733880542000406
cpu,NK3,256,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,302.6866871300008,298.48849910100034,305.9090153230027
cuda:0,NK3,256,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.531563977666034,3.4458776059982483,3.5753599460003898
cuda:0,NK3,256,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,29.438190096665494,29.328437937998387,29.531216241997754
cpu,NK3,64,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.6993764883348679,1.559234815002128,1.7933360380011436
cpu,NK3,64,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,24.30819505633311,23.807126043000608,25.008819005000987
cuda:0,NK3,64,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3021912413326695,2.1974284530006116,2.3775234009990527
cuda:0,NK3,64,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,4.049078391000269,4.009706689001177,4.104466976998083
cpu,NK3,64,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.7016868773353053,1.510143996001716,1.8212937220014283
cpu,NK3,64,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.557428049332277,25.15164541899867,25.964277346000017
cuda:0,NK3,64,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3366589240007065,2.2507954190004966,2.390655657000025
cuda:0,NK3,64,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,4.068822717000633,3.995697808000841,4.174131695999677
cpu,NK3,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.5813484783320746,1.516810765999253,1.706258385998808
cpu,NK3,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,29.444783042666433,29.063610241002607,29.768667938998988
cuda:0,NK3,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3084711656665604,2.1938320199988084,2.3720655659999466
cuda:0,NK3,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,4.258925251000619,4.186970478000148,4.33328563699979
cpu,NK3,64,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.018047180334785,1.9801025730012043,2.045944319001137
cpu,NK3,64,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,35.21425687200099,34.84439340799872,35.78802606500176
cuda:0,NK3,64,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.8690331370004665,2.816158738998638,2.9103814520021842
cuda:0,NK3,64,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,9.403705305666032,9.378875845999573,9.451737638999475
cpu,BLOCK,256,256,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.432698480001515,1.3617551820025255,1.4994533349999983
cpu,BLOCK,256,256,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,18.424832955664897,17.715101465997577,19.31258221099779
cuda:0,BLOCK,256,256,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1551575116670088,2.1011884239997016,2.2138931260014942
cuda:0,BLOCK,256,256,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.5981933693340884,2.562770206001005,2.6375194060019567
